system,placement,confidence,rmsd
mapk2,mapk2_seed-1_sample-2_model.cif,0.9232234010837501,0.1887943135108192
mcr,mcr_seed-6_sample-1_model.cif,0.9610544136908553,0.31792361632621075
met,met_seed-7_sample-4_model.cif,0.9252265765735193,0.285471799496626
mk01,mk01_seed-7_sample-3_model.cif,0.9354471675996602,0.10187700892850539
mk10,mk10_seed-3_sample-3_model.cif,0.9028295963988198,0.14886204617161367
mk14,mk14_seed-5_sample-4_model.cif,0.8955207178137277,0.3725968711115316
mmp13,mmp13_seed-3_sample-3_model.cif,0.9089786959392624,0.13485392698084342
mp2k1,X,X,X
nos1,nos1_seed-8_sample-4_model.cif,0.6581863488787438,0.8628513017269728
nram,nram_seed-8_sample-3_model.cif,0.9533416842394996,0.25341505564295125
pa2ga,pa2ga_seed-7_sample-2_model.cif,0.8624424134916827,0.31198849247602356
parp1,parp1_seed-6_sample-1_model.cif,0.9644197108617285,0.2944808168206222
pde5a,pde5a_seed-9_sample-2_model.cif,0.8387211813297409,0.7184146439749086
pgh1,pgh1_seed-9_sample-0_model.cif,0.9508069505833943,2.404620221380218
pgh2,pgh2_seed-8_sample-3_model.cif,0.9736712989883267,0.18402642777749034
plk1,X,X,X
pnph,pnph_seed-8_sample-2_model.cif,0.933105642752049,0.17359921869164213
ppara,ppara_seed-4_sample-4_model.cif,0.9597552227546385,0.19612542333817348
ppard,ppard_seed-9_sample-2_model.cif,0.9513573179952398,0.548306646678533
pparg,pparg_seed-3_sample-0_model.cif,0.9470128501696102,0.24612690044768992
prgr,prgr_seed-9_sample-2_model.cif,0.8797412286466421,0.26255128673403794
ptn1,ptn1_seed-4_sample-4_model.cif,0.946979976768048,0.1340985856489939
pur2,pur2_seed-3_sample-0_model.cif,0.9555439481993356,0.6106798320706299
pygm,pygm_seed-2_sample-0_model.cif,0.6056887446019528,0.4962934520054568
pyrd,pyrd_seed-8_sample-1_model.cif,0.9171758107360106,0.11771758678695818
reni,reni_seed-7_sample-3_model.cif,0.9346974574776951,0.34102219901776243
rock1,X,X,X
rxra,X,X,X
sahh,sahh_seed-9_sample-0_model.cif,0.9796111812373695,0.22306341489364806
src,src_seed-10_sample-2_model.cif,0.9431121407612606,0.284933468122671
tgfr1,tgfr1_seed-2_sample-0_model.cif,0.947046595296183,0.10578449188216003
thb,thb_seed-2_sample-0_model.cif,0.9490785889860923,0.3757149857051239
thrb,thrb_seed-5_sample-3_model.cif,0.8803402375296311,0.174885764582475
try1,try1_seed-4_sample-2_model.cif,0.9661407515869124,0.3620771382536757
tryb1,tryb1_seed-10_sample-0_model.cif,0.8073218550164223,0.32585583834616283
tysy,tysy_seed-8_sample-2_model.cif,0.8933374514236825,0.8431608931823913
urok,urok_seed-2_sample-2_model.cif,0.9188366018446795,0.21206852963266073
vgfr2,vgfr2_seed-6_sample-4_model.cif,0.9255520394588953,0.1866966143090007
wee1,wee1_seed-10_sample-0_model.cif,0.9442310780774334,0.23538745777111575
xiap,xiap_seed-2_sample-1_model.cif,0.8547302910087494,0.5822987134004447
